indicator_code,indicator_name,ref_area,year,value,unit,publisher,upstream_source,source_last_updated,retrieved_at,retrieval_mode,query_url
SI.POV.DDAY,"Poverty rate ($3.00/day, 2021 PPP)",KEN,2005,44.6,% of population,World Bank World Development Indicators (WDI),World Bank PIP -> WDI,2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SI.POV.DDAY?format=json&date=2010:2023
SI.POV.DDAY,"Poverty rate ($3.00/day, 2021 PPP)",KEN,2015,37.7,% of population,World Bank World Development Indicators (WDI),World Bank PIP -> WDI,2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SI.POV.DDAY?format=json&date=2010:2023
SI.POV.DDAY,"Poverty rate ($3.00/day, 2021 PPP)",KEN,2020,44.4,% of population,World Bank World Development Indicators (WDI),World Bank PIP -> WDI,2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SI.POV.DDAY?format=json&date=2010:2023
SI.POV.DDAY,"Poverty rate ($3.00/day, 2021 PPP)",KEN,2021,46.4,% of population,World Bank World Development Indicators (WDI),World Bank PIP -> WDI,2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SI.POV.DDAY?format=json&date=2010:2023
SI.POV.DDAY,"Poverty rate ($3.00/day, 2021 PPP)",KEN,2022,45.5,% of population,World Bank World Development Indicators (WDI),World Bank PIP -> WDI,2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SI.POV.DDAY?format=json&date=2010:2023
NY.GDP.PCAP.CD,GDP per capita,KEN,2010,1092,current US$,World Bank World Development Indicators (WDI),World Bank national accounts -> WDI,2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/NY.GDP.PCAP.CD?format=json&date=2010:2023
NY.GDP.PCAP.CD,GDP per capita,KEN,2011,1096,current US$,World Bank World Development Indicators (WDI),World Bank national accounts -> WDI,2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/NY.GDP.PCAP.CD?format=json&date=2010:2023
NY.GDP.PCAP.CD,GDP per capita,KEN,2012,1285,current US$,World Bank World Development Indicators (WDI),World Bank national accounts -> WDI,2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/NY.GDP.PCAP.CD?format=json&date=2010:2023
NY.GDP.PCAP.CD,GDP per capita,KEN,2013,1371,current US$,World Bank World Development Indicators (WDI),World Bank national accounts -> WDI,2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/NY.GDP.PCAP.CD?format=json&date=2010:2023
NY.GDP.PCAP.CD,GDP per capita,KEN,2014,1483,current US$,World Bank World Development Indicators (WDI),World Bank national accounts -> WDI,2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/NY.GDP.PCAP.CD?format=json&date=2010:2023
NY.GDP.PCAP.CD,GDP per capita,KEN,2015,1489,current US$,World Bank World Development Indicators (WDI),World Bank national accounts -> WDI,2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/NY.GDP.PCAP.CD?format=json&date=2010:2023
NY.GDP.PCAP.CD,GDP per capita,KEN,2016,1554,current US$,World Bank World Development Indicators (WDI),World Bank national accounts -> WDI,2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/NY.GDP.PCAP.CD?format=json&date=2010:2023
NY.GDP.PCAP.CD,GDP per capita,KEN,2017,1667,current US$,World Bank World Development Indicators (WDI),World Bank national accounts -> WDI,2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/NY.GDP.PCAP.CD?format=json&date=2010:2023
NY.GDP.PCAP.CD,GDP per capita,KEN,2018,1836,current US$,World Bank World Development Indicators (WDI),World Bank national accounts -> WDI,2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/NY.GDP.PCAP.CD?format=json&date=2010:2023
NY.GDP.PCAP.CD,GDP per capita,KEN,2019,1960,current US$,World Bank World Development Indicators (WDI),World Bank national accounts -> WDI,2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/NY.GDP.PCAP.CD?format=json&date=2010:2023
NY.GDP.PCAP.CD,GDP per capita,KEN,2020,1928,current US$,World Bank World Development Indicators (WDI),World Bank national accounts -> WDI,2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/NY.GDP.PCAP.CD?format=json&date=2010:2023
NY.GDP.PCAP.CD,GDP per capita,KEN,2021,2061,current US$,World Bank World Development Indicators (WDI),World Bank national accounts -> WDI,2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/NY.GDP.PCAP.CD?format=json&date=2010:2023
