indicator_code,indicator_name,ref_area,year,value,unit,publisher,upstream_source,source_last_updated,retrieved_at,retrieval_mode,query_url
EG.ELC.ACCS.ZS,Access to electricity,KEN,2010,19.2,% of population,World Bank World Development Indicators (WDI),World Bank/IEA Tracking SDG7 -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.ELC.ACCS.ZS?format=json&date=2010:2023
EG.ELC.ACCS.ZS,Access to electricity,KEN,2011,36.2,% of population,World Bank World Development Indicators (WDI),World Bank/IEA Tracking SDG7 -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.ELC.ACCS.ZS?format=json&date=2010:2023
EG.ELC.ACCS.ZS,Access to electricity,KEN,2012,38.1,% of population,World Bank World Development Indicators (WDI),World Bank/IEA Tracking SDG7 -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.ELC.ACCS.ZS?format=json&date=2010:2023
EG.ELC.ACCS.ZS,Access to electricity,KEN,2013,40.1,% of population,World Bank World Development Indicators (WDI),World Bank/IEA Tracking SDG7 -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.ELC.ACCS.ZS?format=json&date=2010:2023
EG.ELC.ACCS.ZS,Access to electricity,KEN,2014,36.0,% of population,World Bank World Development Indicators (WDI),World Bank/IEA Tracking SDG7 -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.ELC.ACCS.ZS?format=json&date=2010:2023
EG.ELC.ACCS.ZS,Access to electricity,KEN,2015,41.6,% of population,World Bank World Development Indicators (WDI),World Bank/IEA Tracking SDG7 -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.ELC.ACCS.ZS?format=json&date=2010:2023
EG.ELC.ACCS.ZS,Access to electricity,KEN,2016,53.1,% of population,World Bank World Development Indicators (WDI),World Bank/IEA Tracking SDG7 -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.ELC.ACCS.ZS?format=json&date=2010:2023
EG.ELC.ACCS.ZS,Access to electricity,KEN,2017,55.8,% of population,World Bank World Development Indicators (WDI),World Bank/IEA Tracking SDG7 -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.ELC.ACCS.ZS?format=json&date=2010:2023
EG.ELC.ACCS.ZS,Access to electricity,KEN,2018,61.2,% of population,World Bank World Development Indicators (WDI),World Bank/IEA Tracking SDG7 -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.ELC.ACCS.ZS?format=json&date=2010:2023
EG.ELC.ACCS.ZS,Access to electricity,KEN,2019,69.7,% of population,World Bank World Development Indicators (WDI),World Bank/IEA Tracking SDG7 -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.ELC.ACCS.ZS?format=json&date=2010:2023
EG.ELC.ACCS.ZS,Access to electricity,KEN,2020,71.5,% of population,World Bank World Development Indicators (WDI),World Bank/IEA Tracking SDG7 -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.ELC.ACCS.ZS?format=json&date=2010:2023
EG.ELC.ACCS.ZS,Access to electricity,KEN,2021,76.5,% of population,World Bank World Development Indicators (WDI),World Bank/IEA Tracking SDG7 -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.ELC.ACCS.ZS?format=json&date=2010:2023
EG.ELC.ACCS.ZS,Access to electricity,KEN,2022,76.0,% of population,World Bank World Development Indicators (WDI),World Bank/IEA Tracking SDG7 -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.ELC.ACCS.ZS?format=json&date=2010:2023
EG.ELC.ACCS.ZS,Access to electricity,KEN,2023,76.2,% of population,World Bank World Development Indicators (WDI),World Bank/IEA Tracking SDG7 -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.ELC.ACCS.ZS?format=json&date=2010:2023
