indicator_code,indicator_name,ref_area,year,value,unit,publisher,upstream_source,source_last_updated,retrieved_at,retrieval_mode,query_url
SP.DYN.LE00.IN,Life expectancy at birth,KEN,2010,60.9,years,World Bank World Development Indicators (WDI),UN World Population Prospects -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.LE00.IN?format=json&date=2010:2023
SP.DYN.LE00.IN,Life expectancy at birth,KEN,2011,61.3,years,World Bank World Development Indicators (WDI),UN World Population Prospects -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.LE00.IN?format=json&date=2010:2023
SP.DYN.LE00.IN,Life expectancy at birth,KEN,2012,61.5,years,World Bank World Development Indicators (WDI),UN World Population Prospects -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.LE00.IN?format=json&date=2010:2023
SP.DYN.LE00.IN,Life expectancy at birth,KEN,2013,61.7,years,World Bank World Development Indicators (WDI),UN World Population Prospects -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.LE00.IN?format=json&date=2010:2023
SP.DYN.LE00.IN,Life expectancy at birth,KEN,2014,62.0,years,World Bank World Development Indicators (WDI),UN World Population Prospects -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.LE00.IN?format=json&date=2010:2023
SP.DYN.LE00.IN,Life expectancy at birth,KEN,2015,62.3,years,World Bank World Development Indicators (WDI),UN World Population Prospects -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.LE00.IN?format=json&date=2010:2023
SP.DYN.LE00.IN,Life expectancy at birth,KEN,2016,62.5,years,World Bank World Development Indicators (WDI),UN World Population Prospects -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.LE00.IN?format=json&date=2010:2023
SP.DYN.LE00.IN,Life expectancy at birth,KEN,2017,62.7,years,World Bank World Development Indicators (WDI),UN World Population Prospects -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.LE00.IN?format=json&date=2010:2023
SP.DYN.LE00.IN,Life expectancy at birth,KEN,2018,62.8,years,World Bank World Development Indicators (WDI),UN World Population Prospects -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.LE00.IN?format=json&date=2010:2023
SP.DYN.LE00.IN,Life expectancy at birth,KEN,2019,62.9,years,World Bank World Development Indicators (WDI),UN World Population Prospects -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.LE00.IN?format=json&date=2010:2023
SP.DYN.LE00.IN,Life expectancy at birth,KEN,2020,61.6,years,World Bank World Development Indicators (WDI),UN World Population Prospects -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.LE00.IN?format=json&date=2010:2023
SP.DYN.LE00.IN,Life expectancy at birth,KEN,2021,61.2,years,World Bank World Development Indicators (WDI),UN World Population Prospects -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.LE00.IN?format=json&date=2010:2023
SP.DYN.LE00.IN,Life expectancy at birth,KEN,2022,63.5,years,World Bank World Development Indicators (WDI),UN World Population Prospects -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.LE00.IN?format=json&date=2010:2023
SP.DYN.LE00.IN,Life expectancy at birth,KEN,2023,63.6,years,World Bank World Development Indicators (WDI),UN World Population Prospects -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.LE00.IN?format=json&date=2010:2023
