indicator_code,indicator_name,ref_area,year,value,unit,publisher,upstream_source,source_last_updated,retrieved_at,retrieval_mode,query_url
SH.H2O.BASW.ZS,Basic drinking-water coverage,KEN,2010,53.9,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.H2O.BASW.ZS?format=json&date=2010:2023
SH.H2O.BASW.ZS,Basic drinking-water coverage,KEN,2011,54.8,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.H2O.BASW.ZS?format=json&date=2010:2023
SH.H2O.BASW.ZS,Basic drinking-water coverage,KEN,2012,55.6,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.H2O.BASW.ZS?format=json&date=2010:2023
SH.H2O.BASW.ZS,Basic drinking-water coverage,KEN,2013,56.5,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.H2O.BASW.ZS?format=json&date=2010:2023
SH.H2O.BASW.ZS,Basic drinking-water coverage,KEN,2014,57.3,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.H2O.BASW.ZS?format=json&date=2010:2023
SH.H2O.BASW.ZS,Basic drinking-water coverage,KEN,2015,58.2,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.H2O.BASW.ZS?format=json&date=2010:2023
SH.H2O.BASW.ZS,Basic drinking-water coverage,KEN,2016,59.0,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.H2O.BASW.ZS?format=json&date=2010:2023
SH.H2O.BASW.ZS,Basic drinking-water coverage,KEN,2017,59.8,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.H2O.BASW.ZS?format=json&date=2010:2023
SH.H2O.BASW.ZS,Basic drinking-water coverage,KEN,2018,60.7,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.H2O.BASW.ZS?format=json&date=2010:2023
SH.H2O.BASW.ZS,Basic drinking-water coverage,KEN,2019,61.5,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.H2O.BASW.ZS?format=json&date=2010:2023
SH.H2O.BASW.ZS,Basic drinking-water coverage,KEN,2020,62.3,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.H2O.BASW.ZS?format=json&date=2010:2023
